pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour
6.6,35,1,0,1,0,254
6.6,36,0,1,0,1,253
8.5,70,1,1,1,1,246
9.5,34,1,1,0,1,255
6.6,37,0,0,0,0,255
6.6,37,1,1,1,1,255
5.5,45,1,0,1,1,250
4.5,60,0,1,1,1,250
8.1,66,1,0,1,1,255
6.7,45,1,1,0,0,247
6.7,45,1,1,1,0,245
5.6,50,0,1,1,1,255
8.6,55,0,1,1,1,255
7.4,90,1,0,1,1,255
6.8,45,0,1,1,1,255
6.5,38,1,0,0,0,255
4.7,38,1,0,1,0,255
3,40,1,1,1,1,255
9,43,1,0,1,1,250
6.8,40,1,0,1,0,245
6.6,45,0,1,1,1,250
6.5,36,0,0,1,0,255
4.5,38,0,1,1,1,255
6.6,45,1,1,1,1,245
6.8,35,1,0,1,0,246
6.5,36,0,1,1,0,253
8.5,70,0,0,0,0,246
6.6,34,0,0,0,1,240
6.5,37,0,0,0,0,245
6.6,37,1,0,1,0,255
6.4,45,0,1,0,0,240
6.5,40,0,1,0,1,250
6.8,42,1,1,1,1,255
6.7,41,1,0,0,0,247
6.7,50,1,1,1,0,245
6.8,45,0,1,1,1,255
8.6,55,0,1,0,0,255
7.4,65,0,0,0,0,255
6.8,41,0,0,0,0,255
6.5,38,1,1,1,1,255
6.8,38,0,0,0,0,255
3,40,1,0,0,0,255
9,43,1,1,1,1,248
6.8,40,1,1,1,1,255
6.6,45,0,0,0,1,250
6.5,36,0,0,0,0,247
6.6,38,0,0,0,0,255
6.8,45,1,1,1,0,245
9.5,34,1,1,0,1,255
